importer_iso3,canal,RP_ic
NER,Malacca Strait,NA
NER,Panama Canal,NA
NER,Strait of Hormuz,NA
NER,Suez Canal,NA
NER,Taiwan Strait,NA
NGA,Gibraltar Strait,NA
NGA,Malacca Strait,NA
NGA,Panama Canal,NA
NGA,Strait of Hormuz,NA
NGA,Suez Canal,NA
NGA,Taiwan Strait,NA
NIC,Gibraltar Strait,NA
NIC,Malacca Strait,NA
NIC,Panama Canal,NA
NIC,Strait of Hormuz,NA
NIC,Suez Canal,NA
NIC,Taiwan Strait,NA
NLD,Gibraltar Strait,351.18268042684923
NLD,Malacca Strait,49.32882304593694
NLD,Panama Canal,26.47166999490166
NLD,Strait of Hormuz,33.423678785025736
NLD,Suez Canal,214.2480252567825
NLD,Taiwan Strait,14.744712346875364
NOR,Gibraltar Strait,34.63716123174952
NOR,Malacca Strait,4.9219550171851285
NOR,Panama Canal,0.5815010723176202
NOR,Strait of Hormuz,0.2766693466091449
NOR,Suez Canal,16.529132340052925
NOR,Taiwan Strait,4.4120136471733
NPL,Gibraltar Strait,NA
NPL,Malacca Strait,NA
NPL,Panama Canal,NA
NPL,Strait of Hormuz,NA
NPL,Suez Canal,NA
NPL,Taiwan Strait,NA
NRU,Gibraltar Strait,NA
NRU,Malacca Strait,NA
NRU,Panama Canal,NA
NRU,Strait of Hormuz,NA
NRU,Suez Canal,NA
NRU,Taiwan Strait,NA
NZL,Gibraltar Strait,0.47543340151747815
NZL,Malacca Strait,0.897800321323214
NZL,Panama Canal,1.180705493894838
NZL,Strait of Hormuz,1.2674426876728064
NZL,Suez Canal,1.0029626194673995
NZL,Taiwan Strait,1.571863092968723
OMN,Gibraltar Strait,NA
OMN,Malacca Strait,NA
OMN,Panama Canal,NA
OMN,Strait of Hormuz,NA
OMN,Suez Canal,NA
OMN,Taiwan Strait,NA
PAK,Gibraltar Strait,0
PAK,Malacca Strait,0
PAK,Panama Canal,0
PAK,Strait of Hormuz,0
PAK,Suez Canal,0
PAK,Taiwan Strait,0
PAN,Gibraltar Strait,NA
PAN,Malacca Strait,NA
PAN,Panama Canal,NA
PAN,Strait of Hormuz,NA
PAN,Suez Canal,NA
PAN,Taiwan Strait,NA
PER,Gibraltar Strait,10.842546458617159
